x	y
460.686940	308.431498
462.359537	307.987812
463.917460	307.777143
465.341176	307.725882
468.228803	307.466334
470.487353	307.776681
472.523718	308.101282
475.700324	308.082848
478.054535	307.777712
480.265201	307.441138
482.687653	307.580073
485.277001	307.935832
488.013707	307.857944
491.281325	307.476506
492.706974	307.579655
494.493812	307.203589
496.574206	306.966299
498.615581	306.809706
501.394054	306.615433
504.130663	306.072226
506.275610	305.998171
508.712072	306.076824
511.694194	305.863871
513.848485	305.693017
517.123803	305.924059
520.217933	305.423412
523.897196	305.522697
526.811987	305.762776
529.547376	305.520791
531.377175	305.700070
534.005270	305.166008
536.845993	305.324042
539.938961	304.947403
541.898955	304.783275
544.697910	304.637222
546.492703	303.949965
548.523410	303.715584
551.860835	303.342611
554.204758	303.504686
556.550515	303.580756
558.507410	302.923077
561.303647	302.970547
564.084346	303.283059
567.329078	303.199291
570.008219	302.988356
572.916110	302.953972
575.217361	303.111503
577.630419	302.841293
580.463102	302.714608
582.533675	302.463397
584.445418	302.420717
586.753569	301.914350
588.223821	301.978417
590.256449	301.799697
592.251159	301.268161
593.941129	301.258065
595.536604	300.992991
597.407287	300.833198
599.723140	300.738843
602.364988	300.561519
604.357388	300.633162
606.261719	300.501562
608.299233	300.342711
610.534191	300.401448
611.653846	300.666388
613.555556	300.907838
615.812914	300.797185
616.804608	300.423208
618.600666	300.012479
619.989257	300.034020
621.649552	299.677262
622.171717	299.599327
623.033362	299.953807
623.527987	299.415205
625.170903	299.015776
626.162976	299.072631
626.787138	299.037138
628.460916	299.237197
629.857511	298.767382
630.844643	298.643750
631.744146	298.794449
632.852505	299.045455
633.077687	299.412827
634.571429	299.320976
635.358059	299.305861
635.992799	299.369037
636.267345	299.263645
636.605925	299.051167
636.788655	299.190302
636.915982	299.025571
637.065018	298.961538
637.241921	298.744229
637.202925	298.589580
637.033484	298.761991
636.895442	298.967828
636.790045	298.827149
636.769581	298.848816
636.958409	298.960217
636.666351	299.097630
636.817932	299.034767
636.855422	299.372567
636.674312	299.695413
636.317774	299.794434
636.151261	299.813259
635.623836	299.983240
634.925164	300.057998
633.756579	299.879699
632.715971	300.225953
631.993699	299.865887
630.743080	299.963668
629.642857	299.871429
628.344123	300.005963
627.271691	300.171779
625.344219	300.518094
624.323401	300.964067
623.120362	301.209050
622.174724	301.117048
621.048893	301.388376
620.119111	301.478222
619.198377	301.761948
617.553407	302.074586
616.122958	302.264832
614.731729	302.385027
612.589983	302.179117
611.038294	302.275022
608.966394	302.702997
606.782533	302.270742
604.777015	302.756432
602.121457	303.103644
599.941331	303.123468
597.567416	303.252006
595.413850	303.727123
593.668036	303.960559
591.944625	303.635179
589.411467	304.319562
587.574002	304.905247
586.253580	305.314238
583.915527	305.194690
580.983771	306.030912
578.590764	306.515127
576.554739	306.414401
573.456255	307.198692
570.739470	307.067863
567.863429	307.490137
564.810853	307.011628
562.293727	307.068635
559.199085	307.722349
556.823077	307.665035
553.629787	308.146099
550.588732	308.546479
548.532639	308.541667
545.711765	309.056618
542.802578	309.519674
540.313357	310.031047
537.405202	310.281314
534.971685	310.584945
532.600846	310.971086
529.843229	311.149433
527.025399	311.857765
524.632639	311.842176
520.691570	312.093215
517.517726	311.850167
514.555556	312.044185
511.489463	312.425561
508.420712	312.522330
505.278743	313.327540
502.450570	312.738276
499.460246	313.097608
496.841830	313.605882
494.645718	313.914972
492.433925	314.470085
489.623910	314.610212
487.151373	315.470864
484.648649	315.573359
481.696178	315.606369
479.802318	316.483299
476.728119	316.302297
474.128581	316.753498
471.314815	316.382503
468.331160	316.548892
466.449294	317.069320
463.915634	316.647198
460.702507	317.186016
459.325264	317.240844
456.292229	317.280668
453.803560	317.511125
451.952291	317.710609
449.019582	318.253916
447.179796	317.751654
