x	y
457.363806	291.698383
456.894867	291.831787
455.865935	291.790372
454.614493	291.428406
454.151699	291.643204
453.615898	291.601335
453.060271	291.840713
451.630120	291.638554
450.372841	291.344848
449.329859	290.947885
449.034084	290.841144
448.343985	290.993108
447.148846	291.019441
445.762052	290.865884
444.813910	290.942356
443.958776	290.876952
442.322439	290.839095
441.881188	291.144183
440.422180	290.731569
439.203623	290.657714
438.100552	290.405273
436.748256	290.434369
435.760949	290.734793
434.724584	290.586568
433.143030	290.270368
432.042591	290.072585
431.147685	290.224030
430.082972	290.502786
429.019595	290.192794
427.823242	290.017737
426.151422	289.683560
425.000620	289.807931
423.938009	289.457107
423.055626	289.739570
421.935780	289.771254
420.127273	289.699687
419.418829	289.664454
418.213226	289.534611
417.088422	289.680025
416.022018	289.640979
414.446373	289.435834
413.467613	289.019741
412.071248	288.825347
411.234805	289.147793
410.261816	289.296020
409.256378	289.012755
407.574442	288.888958
406.293478	288.543478
405.671267	288.727102
404.858134	288.716267
403.688186	288.834732
402.471686	288.879900
401.503851	288.692555
400.862069	288.899060
399.816468	288.601508
398.826142	288.621827
397.311646	288.486012
396.392834	288.285993
395.454890	288.286435
394.987021	288.153796
394.200262	288.462696
393.073765	288.271969
392.570216	288.005879
391.512709	287.944823
390.580223	287.878847
390.179209	288.200255
389.738541	288.231117
388.857522	288.137840
388.191693	288.021725
387.523218	287.766514
387.338928	287.730794
386.480795	287.911258
385.825806	287.957419
384.874271	287.861957
384.249012	287.399209
383.784686	287.517670
383.780978	287.814468
383.595801	288.052493
382.915232	287.760927
382.585190	287.659895
382.211826	287.430799
382.187995	287.620053
381.804404	287.688472
381.047219	287.404269
380.867052	287.342325
380.813592	287.498382
380.681608	287.580751
380.895493	287.767472
380.923533	287.783125
380.787720	287.647943
380.625166	287.627815
380.731755	287.728468
381.093231	288.090677
381.277124	287.846405
381.340467	287.751621
381.345950	287.545153
381.355410	287.602623
381.652742	287.687990
381.980602	287.698997
381.924403	287.760610
382.247326	287.385695
382.361702	287.374335
382.856275	287.863023
383.769180	287.884921
384.098285	288.046174
384.340325	287.751691
384.379581	287.371728
385.075697	287.433599
385.684896	287.777344
386.514436	287.893045
387.048485	288.162290
387.757853	287.946990
387.954697	287.646236
389.196636	287.942432
390.139037	287.923797
390.734161	288.338341
391.107652	287.966278
391.748016	287.878307
392.876289	288.180412
394.455518	288.583278
395.439947	288.812210
395.922827	288.487678
396.576720	288.425265
397.587179	288.271795
398.866623	288.517083
400.328185	288.773488
401.522639	288.836999
401.788097	288.761282
402.788650	288.675147
404.021003	288.863144
405.271287	289.047525
406.527370	289.176903
406.694149	288.736702
408.181638	288.764201
409.230148	288.643338
410.694893	289.034906
412.377222	289.471363
413.232291	289.141034
414.364341	289.281654
415.506545	289.092277
417.063666	289.387138
418.350889	289.739302
419.484015	289.976343
421.031108	289.716785
421.704780	289.525194
422.915016	289.730351
424.666667	289.950000
426.336520	290.270236
427.205902	289.849836
427.896466	289.567266
429.724311	289.813910
431.224387	290.209302
432.750156	290.283573
433.535248	290.314621
434.793651	290.056508
436.076773	290.104750
437.740858	290.578184
438.761875	290.575047
440.239372	290.529104
441.188100	290.197697
442.536727	290.232603
443.950470	290.648276
445.497761	291.124760
446.761079	291.257547
447.709295	291.237679
448.773986	290.882164
449.892790	290.807524
450.942105	290.920395
452.374356	291.422036
453.035438	291.248067
453.778641	291.071197
455.284013	291.057680
456.883854	291.093810
458.048000	291.534769
458.965300	291.596845
460.248424	291.587011
460.757764	291.428571
461.901671	291.258355
463.226427	291.595533
464.485677	291.783203
465.010877	291.876520
465.535077	291.823980
466.313443	291.874754
467.790886	291.661049
468.688026	291.747573
469.478856	291.845771
469.902361	291.783025
470.082592	291.605464
470.816479	291.813983
471.842812	292.051118
472.414198	292.140123
473.213648	292.346939
473.644430	292.080554
474.010890	291.778347
474.799491	292.103119
475.884375	292.363125
476.185942	292.040256
476.247177	291.995609
476.487697	292.027760
477.197076	292.039415
477.841736	292.211870
477.944984	292.238188
478.117873	292.247918
478.263329	292.016905
478.377310	292.063735
478.495553	292.233164
478.593506	292.227273
478.866152	292.268983
478.786779	292.061568
478.888107	292.008312
478.861558	292.167418
478.942857	292.177922
478.854942	292.288832
478.699676	292.256958
478.632457	292.233483
478.458144	292.108371
478.586118	292.242931
478.329719	292.412628
478.219371	292.378448
477.689806	292.173859
477.101684	292.285622
477.081186	292.230670
476.614935	292.416883
476.089389	292.289389
475.560587	292.314413
474.669281	291.837255
473.891208	291.866540
473.680229	292.011443
473.349686	292.198113
472.551046	292.232086
471.517972	292.089859
470.755911	291.916294
470.439845	291.950841
469.470956	292.406621
468.885659	291.948966
467.763462	292.091026
467.258448	291.613267
466.136334	291.796141
465.605775	292.098556
464.510358	292.037037
463.327307	291.940773
462.080695	291.779640
461.171194	291.534428
460.816973	291.557315
459.592909	291.377544
458.027534	291.572591
456.993116	291.026283
455.685767	290.953173
454.698056	290.890036
453.664322	291.485934
452.703453	291.268804
450.993007	291.280356
450.393300	291.180521
449.028273	290.898586
448.250948	291.285082
446.948435	291.359116
445.701788	290.901022
443.902469	290.769753
442.788054	290.420681
441.732710	290.218692
440.441084	290.778828
438.977184	290.908735
437.029907	290.116511
435.855577	290.217279
434.535782	289.835972
433.736102	290.191054
432.495558	290.058376
430.972070	289.979356
429.502219	290.154724
428.483537	290.088415
427.433208	290.011860
425.903004	290.090738
424.439385	289.952615
423.156588	289.852960
421.535428	289.287739
420.577429	289.558621
419.261635	289.730189
417.714196	289.609925
