x	y
451.873526	292.587156
455.170337	292.654793
458.280450	292.987508
461.193943	293.384665
464.099194	293.252325
466.959530	293.855744
469.784906	294.112579
472.799496	294.257251
475.259259	294.568966
477.729544	294.413492
479.151849	294.613238
481.871655	294.077859
483.490979	294.303479
485.644473	294.232062
488.121935	294.110968
490.155861	294.288147
492.186667	294.314921
494.842587	294.599608
496.901462	294.636364
499.176278	294.582569
501.411765	294.949673
503.187215	295.249185
505.380790	295.849455
507.483333	295.719231
508.943029	295.977882
510.339882	296.092993
511.600398	296.113983
512.967546	296.462475
514.087969	296.238034
514.900728	295.945069
515.595080	295.880319
515.886729	295.847185
516.730795	295.599866
517.376141	295.687744
518.159790	295.487230
518.816181	295.415534
519.639037	295.456551
519.926636	295.557171
520.518033	295.603934
521.189116	295.657823
521.807006	295.910773
522.367209	296.087398
522.448761	296.283322
522.649834	296.336213
522.607595	296.312458
522.713137	296.484584
522.320054	296.447670
521.451592	296.269894
520.617427	295.893805
519.177191	295.713273
518.533377	295.502974
517.459974	295.364829
515.944758	295.053358
515.101852	295.046296
514.046753	295.036364
513.035099	294.569536
512.426901	294.664717
511.373533	294.928292
509.863305	294.966821
508.928986	294.959329
507.866089	294.890740
506.760717	295.424184
504.890564	295.255570
503.187295	295.408644
501.324937	295.553526
499.128674	295.305029
496.875479	294.930396
494.072165	294.663015
491.875486	294.387808
489.333333	294.044693
486.739382	294.097169
484.131793	293.768894
481.642995	293.305358
478.738825	293.058110
476.551550	292.929159
474.210973	292.948400
471.615627	292.829868
469.438667	293.290667
467.955724	292.986085
465.442884	292.994257
463.516933	292.999361
460.708568	293.024390
457.828363	293.389662
455.210821	293.080224
452.067585	292.841207
449.037365	292.585180
446.082754	292.432723
443.039028	292.110685
439.852010	291.654080
436.340967	290.810433
432.835199	290.552239
430.044081	290.492443
426.889798	289.984887
424.244569	290.148976
421.946580	290.103583
419.299252	289.932045
416.527743	289.921816
414.554217	290.033608
412.337795	290.260038
409.801189	290.314399
406.894872	290.301282
404.516565	290.361731
402.047275	290.177282
399.334871	289.974951
396.613029	289.710098
393.622701	289.203551
390.642190	288.939920
387.853565	288.638407
385.352981	288.332217
382.484848	288.299736
379.761936	287.801177
377.279382	287.723976
374.899543	287.408350
372.965870	287.527645
371.272667	287.472000
369.383479	287.194090
367.989167	287.398104
366.663347	287.644754
365.509091	287.900699
363.594803	287.163624
362.228814	287.598870
360.863955	287.584853
358.935852	287.561654
357.646024	287.659395
355.783116	287.656829
353.522334	287.148415
351.833333	286.574074
350.541637	286.417082
349.053507	286.396963
347.898129	286.031185
346.298475	285.851126
345.570728	285.579832
345.186465	285.747300
344.898466	285.791819
344.755459	285.788937
