x	y
511.043595	295.568075
508.215887	295.358744
505.630890	295.342932
502.367823	294.991167
499.338641	294.718922
496.391640	294.387781
493.030769	294.469538
489.813968	293.871111
486.277604	293.855271
483.163739	293.653074
479.668374	293.319462
476.697214	293.432198
473.547726	293.106983
470.218426	292.928005
467.096552	293.051411
464.070713	293.249687
460.521578	293.114673
457.178594	292.844839
454.051924	292.750764
450.117083	292.860525
446.678549	292.728580
443.015743	292.436398
439.322761	292.026119
435.402062	291.660400
431.219822	291.402160
427.839045	290.833537
423.955006	291.046895
419.969865	290.816113
416.266183	290.203267
412.787151	290.329007
409.271062	290.276557
405.842540	290.066032
402.307692	289.874922
399.425047	289.964579
395.564661	289.948784
392.312223	289.894237
388.979961	289.266322
386.321583	289.393939
382.876923	289.638462
379.263393	289.411990
376.219282	289.407057
373.184555	289.082461
369.813222	288.416560
366.192488	288.376928
362.534326	288.074482
359.692605	287.973633
356.516279	288.104983
353.314213	287.523901
350.987057	287.287466
348.436759	287.218709
345.754266	287.272355
343.583222	286.787617
341.102273	286.939840
338.913720	287.128006
336.844173	286.916667
335.289437	287.052113
333.292616	287.228433
331.094945	286.865437
329.042641	286.978680
326.880296	286.630128
325.231441	286.740902
323.645535	286.873892
321.615819	286.853107
319.968750	286.576389
318.573499	286.655625
316.822592	285.994931
315.454610	286.128369
314.032656	286.023948
313.273885	286.079264
312.227931	286.343705
311.434114	286.215227
311.053184	286.461861
310.149741	286.144552
310.060250	286.481999
309.436256	286.145910
309.479883	285.999268
309.701637	286.217262
309.483395	286.526937
309.407895	286.701023
309.361253	286.679534
309.386197	286.715125
309.043228	286.336455
308.942671	286.287373
309.126973	286.494978
309.035793	286.316289
309.257598	286.329957
309.610473	286.423960
310.685472	286.497179
311.417361	286.484722
312.362350	286.464968
313.930869	286.694045
314.659286	286.675714
316.132075	286.874913
318.279021	287.171329
319.949640	287.328058
321.814189	287.625676
323.501728	287.730477
325.358428	288.057961
326.837304	288.162696
328.434663	288.315681
329.974951	288.344759
331.698565	288.016405
333.386334	288.070302
335.626243	288.267064
337.553109	288.506477
339.347231	288.790879
341.302097	288.588467
343.991870	288.796123
346.946985	289.266402
350.193325	289.307305
352.666879	289.462810
356.058487	289.956135
358.226906	290.094854
361.340180	290.413350
364.524580	290.570144
367.356652	290.706433
370.243917	290.804745
373.149758	291.141304
376.500925	291.273288
379.256821	291.021945
382.480710	291.512554
385.481283	291.951277
388.200960	291.724655
391.144305	291.784735
393.665116	291.952907
397.044997	292.166963
400.033315	292.048560
403.537090	292.086256
407.159001	292.454287
410.631073	292.835028
414.304050	292.964632
417.878431	293.324930
421.356295	293.398456
424.562607	293.518010
428.080183	294.031501
431.386350	294.353962
434.367941	294.602966
437.665323	294.777074
441.106336	294.896419
443.874342	294.996493
446.609348	294.951529
449.932494	295.362700
452.715029	295.015029
455.450815	295.161327
458.128024	295.100885
461.320819	295.175199
463.497052	295.465802
466.429918	295.495289
469.473270	296.038829
472.421857	296.192714
475.215349	295.876289
477.859721	296.459837
480.583141	296.680139
483.332564	297.125866
485.948931	297.042162
488.196818	297.251621
490.539673	297.363416
492.517019	297.502934
494.321909	297.580783
495.877831	297.493445
497.384752	297.384161
498.766035	297.351252
500.372422	297.426046
501.875153	297.166463
503.147236	297.160457
504.669862	297.683643
505.903089	297.354331
507.432254	297.432854
508.237309	297.568196
509.981154	297.487633
510.786061	297.566667
512.063268	297.834767
512.572798	298.162373
513.294840	298.095823
513.738629	298.226804
514.181045	298.482989
514.453116	298.477314
514.619820	298.328529
514.655777	298.237750
514.626145	297.923030
514.568802	297.712112
514.295567	297.794951
514.195046	297.739938
513.109944	297.662755
512.582981	297.358479
511.895320	297.339286
511.442450	297.254332
510.748332	297.379018
510.248645	297.250452
509.106318	297.314095
508.085697	297.311344
507.154627	297.322388
505.982748	297.489217
504.673531	297.407026
503.004837	297.042926
502.038251	297.214329
500.146794	297.002397
497.978261	296.971014
495.936848	296.727115
494.158338	296.555689
492.123748	296.520330
489.616970	295.958182
487.133929	295.703571
484.268208	295.719653
481.788707	295.582271
479.764179	295.445373
477.416175	295.001771
475.421279	294.953875
473.173759	294.882388
470.101903	295.012277
467.907810	294.918379
465.202128	294.919031
462.863847	294.508691
459.951361	294.642733
457.163228	294.792476
454.296167	294.375145
451.601695	294.308111
448.405137	294.009340
444.951132	293.578069
441.176082	292.984976
438.079103	292.969303
434.480171	292.830384
431.312312	292.481682
428.609347	292.212702
425.069586	292.086983
422.300241	291.829723
419.295511	291.822943
416.606518	291.719976
413.941620	291.695543
410.741060	291.606658
408.410019	291.599876
405.703611	291.347447
402.220433	291.264396
399.426632	291.215902
396.515596	290.868502
393.352564	290.807692
390.188725	290.226103
386.899754	290.284133
384.182519	290.039846
380.906890	289.703911
378.158306	289.347883
375.048858	289.251904
372.411954	288.804627
369.602074	288.928062
367.115361	288.792476
364.341184	288.658143
362.223151	288.479743
360.371297	288.264648
357.837302	288.152778
355.842313	288.306176
354.235212	288.327070
352.084329	288.517264
350.292479	288.229805
348.117292	287.916890
346.279863	287.921502
344.432997	287.741354
342.347947	287.273486
340.034815	287.118519
338.841168	287.090456
337.003582	286.979943
334.728826	286.343060
333.474684	286.474684
332.134209	286.494530
331.072078	286.368789
329.784083	286.106853
329.103650	286.066423
328.372894	286.151648
327.930752	286.078183
327.018051	286.050542
327.000000	286.262844
326.701678	286.222465
326.591822	286.321933
326.015117	286.270597
325.746835	286.088608
325.449853	286.202065
325.225092	286.178598
324.627329	285.894410
324.732673	285.862148
324.792813	285.927370
324.744043	285.657955
324.540478	285.568234
325.038285	285.649311
325.845588	285.976471
326.211701	285.648191
326.961569	285.552941
327.990943	285.852075
329.239816	286.046887
330.391530	285.732541
332.244836	286.420046
333.679506	286.591570
334.940880	286.428262
336.359281	286.968563
337.780418	287.123110
339.530993	286.953697
341.182692	287.242604
342.411501	287.272591
344.404079	287.373112
346.165326	287.514996
348.587038	287.737754
349.875179	287.224534
351.711294	287.145849
353.920601	287.326896
356.119186	287.299419
358.663043	287.406522
361.436806	287.695139
364.312454	288.168973
367.530881	288.240805
370.458512	288.655937
373.347765	288.822626
376.500000	289.090595
379.302076	289.312813
382.517288	289.531525
385.174004	289.578616
388.531271	289.711340
391.222074	289.677592
394.388664	290.147099
397.414984	289.920521
399.998599	290.258403
402.880782	289.971336
406.181818	290.078877
409.652145	290.408581
412.939113	290.291860
416.438301	290.408631
420.089686	290.436899
423.853193	290.857143
427.506876	291.445972
431.178010	291.337042
435.042638	292.051965
438.319010	292.169271
442.573937	292.483457
446.057125	292.509628
449.740789	292.844215
453.306526	293.041529
456.429280	292.933002
459.963250	293.274017
462.967742	293.249842
465.959318	293.156168
469.016753	293.198454
472.095023	293.296057
475.363279	293.382951
478.528846	293.603205
481.885073	293.735139
485.484277	293.870440
488.458279	293.775750
492.353715	294.172255
495.381510	294.634115
498.452575	294.903117
501.922018	294.798165
505.016756	295.241287
508.003322	295.499668
510.642621	295.198544
513.429714	295.433045
515.466051	295.903098
517.611765	295.755709
519.857618	295.987359
521.949401	296.048602
524.079919	295.809940
526.396825	295.833995
528.330526	296.145263
530.132203	295.825085
531.990947	296.041086
533.818796	295.947938
535.629328	295.799728
537.232591	296.057103
539.236194	296.113772
541.114306	296.659187
542.339635	296.573261
543.648871	296.416838
545.004811	296.518900
546.164609	296.650892
547.235836	296.958215
547.693836	296.933562
548.563598	296.815179
549.021262	296.680384
549.172295	296.544452
549.700208	296.333796
549.753112	296.273167
549.800280	296.217940
549.737931	296.020000
549.843315	295.949164
549.913555	296.152144
549.790489	295.924879
549.434444	295.806520
549.241667	296.004167
549.108316	296.127184
548.687671	296.069178
548.273292	296.239476
547.551819	296.408373
546.785666	296.075017
546.026389	295.983333
544.459314	296.291863
543.309491	296.183631
541.822811	296.070604
539.833222	295.885257
538.264320	295.629400
536.484564	295.689262
534.589298	295.383600
532.229333	295.579333
530.572655	295.307794
528.690396	294.780390
526.815153	295.111692
524.679513	295.255578
522.555556	295.015686
520.033290	295.115535
518.173342	294.864084
516.085862	294.631375
513.506304	294.735899
511.136219	294.767027
508.371836	294.640493
505.849288	294.727684
502.511912	294.500322
499.468504	294.133202
496.392045	294.011364
493.219512	293.675676
489.925996	293.437698
486.367647	293.212916
483.043147	292.939721
479.321608	292.809673
475.973941	292.926384
472.760201	292.419335
469.727046	292.729544
466.210263	292.466208
463.325510	291.865349
460.423325	292.167526
457.019243	292.014277
453.736278	292.197476
450.958437	292.104839
447.006321	291.899494
443.693384	291.744275
440.337719	291.707393
436.367985	291.390306
432.705479	291.079701
429.318475	291.010336
425.519975	290.216233
421.803934	290.041878
418.421702	289.966862
415.092251	289.659287
411.474055	289.210122
408.454997	289.548727
405.144802	289.159653
401.540941	288.943262
398.685279	288.913071
395.534806	288.861446
392.794740	288.514432
390.014875	288.637593
387.260173	288.670447
384.000000	288.590196
381.572207	288.869891
378.364935	288.460390
375.960054	288.075829
372.972991	288.120864
370.377808	288.166099
367.231666	287.865661
364.230563	287.741287
361.534674	287.002774
359.564257	287.085676
356.763937	286.910530
354.124402	286.574846
352.709366	287.040634
350.204317	286.740288
348.555322	286.526611
346.879971	286.785249
345.244696	286.628006
343.854362	286.757751
342.447008	286.706561
341.050896	286.805018
339.548105	286.606414
338.343040	286.470170
337.124183	286.377633
335.779856	286.297842
334.476258	286.260808
333.426866	286.169403
331.797601	285.899550
331.048983	285.542577
330.047120	285.576664
329.421910	285.441155
328.884328	285.447761
327.975291	285.339390
327.873801	285.327675
327.758595	285.438186
328.016566	285.652108
328.098348	285.608859
328.062969	285.681409
328.246792	285.872453
328.619677	286.082966
329.167535	286.391660
