x	y
342.106685	287.238352
340.610274	287.043836
339.634654	287.149765
339.072346	287.085193
337.794448	287.115003
337.088859	287.083554
336.529938	286.995871
335.460159	286.871846
334.460106	286.894282
334.042724	286.918558
333.510526	286.928289
332.821088	286.882313
332.284175	286.959596
332.107483	286.834694
331.844535	286.839104
331.492891	286.873392
331.473613	286.831529
331.365903	286.770216
331.274898	286.584584
331.246407	286.703628
331.454545	286.788567
332.021088	287.006122
332.468381	286.712300
332.840989	286.916608
333.911469	287.223340
334.118412	287.145106
334.862865	287.162933
335.406662	287.092297
336.414148	287.110577
337.847537	287.083222
338.517857	287.196429
340.110236	287.218504
340.787220	287.189667
341.523390	287.492203
343.035310	287.840107
344.116420	287.671602
346.214424	287.626529
347.930988	288.089310
349.604167	288.279297
350.723220	288.152362
352.363636	288.114625
354.692508	288.201303
356.765915	288.489390
358.644728	288.503514
360.556143	288.697490
362.568285	288.941100
364.145780	289.199488
366.486945	289.196475
368.890830	289.020586
370.636010	289.389896
372.599379	289.450311
374.681561	289.415356
377.536030	289.709861
379.831003	289.653495
382.092640	289.847081
384.610598	289.865681
387.273573	290.197891
389.607448	290.082418
392.664375	290.469375
395.273196	290.709407
398.230958	290.998771
400.660771	291.059381
402.798548	290.924380
405.575890	291.034978
408.799014	291.249075
411.327402	291.329181
413.603491	291.503117
416.122388	291.663881
419.146986	291.893604
421.489917	291.573547
424.382875	291.814067
426.876398	292.019876
429.903052	292.207062
431.919924	291.932535
434.900542	291.823388
437.448570	292.145466
440.627751	292.723716
442.687538	292.865141
445.205160	292.752457
448.168042	292.689858
450.542017	293.409364
453.589499	293.454654
456.058368	293.628946
458.311775	293.607077
460.633646	293.553927
462.989467	293.918835
465.219734	294.226998
467.224515	294.083131
469.458128	294.291256
470.978488	294.306699
473.127551	294.252551
474.975860	294.138202
477.056462	294.496236
479.217500	294.658125
480.930175	294.907731
482.630750	294.737240
484.154814	294.833858
486.025574	294.960656
488.022627	295.109365
489.342422	295.196576
490.953430	295.129641
492.002480	294.887167
493.198970	295.191887
494.627353	295.306148
496.051513	295.466838
497.007477	295.564486
497.839275	295.682301
498.779196	295.701340
499.290807	295.749218
499.886231	295.535229
500.216951	295.702087
500.813180	295.644274
500.977258	295.607707
501.565896	295.655215
502.293224	295.378087
502.393883	295.594881
502.411285	295.408150
502.868405	295.358783
502.787485	295.516109
502.545797	295.390213
502.962733	295.442236
502.807229	295.376030
502.594140	295.546135
502.137230	295.311944
501.749843	295.455060
501.493384	295.453056
500.551020	295.352679
499.401223	295.108869
498.198204	294.951251
497.274657	295.051186
496.057233	294.784277
495.092249	294.620115
493.978554	294.433824
492.825618	294.210526
491.324561	294.381579
490.205808	294.268939
489.175582	294.280680
487.628834	294.160123
486.391276	294.254557
484.508568	294.311506
482.846881	294.158790
481.164425	294.027506
479.363416	293.881890
477.458333	293.876244
475.671108	293.725015
473.442857	293.567081
471.202539	293.645707
469.231804	293.333333
467.036352	293.277880
464.667877	293.358742
462.431949	292.962300
460.170434	292.860721
457.638941	292.606805
455.674390	292.719512
453.106434	292.419122
450.946584	292.574534
448.473876	292.199271
446.190296	292.474480
443.891454	292.151591
441.793552	292.081835
438.797879	291.738615
436.331713	291.668287
434.555133	291.484791
432.062539	291.452632
429.025490	291.464052
426.779799	291.207654
424.156581	290.875234
421.678459	290.524953
419.413751	290.419276
417.135647	290.176025
414.207903	290.012158
411.669994	289.863381
409.250929	289.779430
406.888539	289.872166
404.405636	289.652031
402.387077	289.500627
400.194098	289.529836
398.252408	289.160565
395.866580	289.081606
393.793126	289.171855
391.191243	289.001288
389.376323	289.095238
387.255890	288.829188
385.177938	288.641497
382.970842	288.416170
380.966158	288.342402
378.790237	288.306069
376.757188	287.927157
374.951417	288.058704
373.129801	287.782119
370.953189	287.665536
370.010081	287.757392
368.336856	287.416116
366.556407	287.572423
364.886425	287.211694
364.075862	287.340000
362.728734	287.175486
361.632323	287.043771
360.457143	287.143537
359.330393	287.267978
358.338105	287.204499
357.436821	286.953804
356.648943	287.095433
355.421853	286.979945
354.397324	286.686288
353.798043	286.447939
352.852941	286.510260
352.471329	286.539860
351.627630	286.631837
351.297602	286.832158
350.991513	286.496464
350.339648	286.267253
350.167367	286.313025
350.213633	286.365425
350.242424	286.423538
350.047414	286.517241
350.211228	286.512281
350.432782	286.436377
351.014904	286.786373
351.571429	286.821782
351.851429	286.625714
352.615007	286.798738
352.870597	286.739756
353.228632	286.897436
353.911255	286.963203
354.702128	286.957447
355.047278	286.908309
355.942378	286.541211
356.953966	286.948300
358.443878	287.124636
359.728352	287.068436
360.951237	287.354064
362.021186	287.442090
363.534868	287.097495
365.414702	287.487517
367.274914	287.485911
368.542898	287.514780
370.691114	287.773625
372.661775	287.696017
373.994406	288.134266
376.114047	288.513908
377.394699	288.264327
379.355361	288.374916
381.056669	288.374568
383.670524	288.413206
385.330683	288.556660
387.220648	288.672740
389.047900	288.592520
391.574037	288.590940
393.500000	288.571809
395.922414	288.687003
398.880808	288.963636
401.050132	289.327177
403.928330	289.467884
406.403289	289.388158
408.939516	289.622312
411.830151	289.822910
414.690196	290.206536
416.965211	290.515689
419.324289	290.553618
422.323934	290.862951
424.505076	290.965736
427.267799	291.235140
429.609901	291.066667
432.391360	290.787802
434.568288	290.677548
437.311486	290.878650
439.759028	291.061720
442.279711	291.318450
444.954631	291.175173
447.773660	291.532098
450.412838	291.516048
453.317295	291.882315
456.111252	291.913401
459.000646	291.986434
461.109948	292.297120
464.446633	292.540025
466.917639	292.711414
469.333960	292.916040
472.341448	293.040999
473.916240	293.144501
476.260595	292.927261
478.981603	293.199737
481.385054	293.110196
483.195869	293.379081
484.982063	293.459962
486.783311	293.483849
488.890521	293.469292
491.124272	293.579935
493.192994	293.540648
495.168503	293.788075
497.089777	293.726081
499.105332	293.834101
500.601164	294.010989
502.456140	294.556005
504.395683	294.436233
506.236860	294.666667
507.529178	294.803050
509.558233	294.901606
510.279195	294.838255
511.738866	295.546559
512.613557	295.439553
513.383479	295.159167
514.126374	295.155220
514.626441	295.004746
515.717492	294.605281
516.278473	294.513496
516.875163	294.855657
517.538974	294.913391
517.802510	295.120872
518.695973	294.889933
518.997292	295.102911
519.302703	295.033108
520.140541	295.381757
520.290086	295.357951
520.616310	295.253342
520.632776	295.400669
520.671543	295.467420
520.501992	295.566401
520.072502	295.624428
519.526212	295.294889
518.992715	295.022517
518.126640	294.876640
517.223762	294.765017
516.437221	294.877629
515.646746	294.819389
514.540784	294.723828
513.811642	294.612165
512.697248	294.608781
511.984148	294.412153
510.871829	294.547397
509.673496	294.414213
508.521938	294.531107
507.212891	294.582682
505.343607	294.689180
504.106101	294.592175
502.579451	294.695597
500.711864	294.492829
499.176471	294.383934
496.545925	294.399741
494.629256	294.399748
492.592965	293.896985
490.193399	294.029703
487.780457	293.627538
485.508727	293.511959
483.315488	293.711918
480.909149	293.174664
478.447352	293.193363
476.559153	293.006849
474.079240	293.003274
472.219298	292.912281
469.788903	292.964923
467.338658	293.042812
464.605464	292.900254
462.660819	293.304743
460.133042	292.993129
457.167536	292.703390
454.217224	292.440231
451.312619	292.351300
448.782304	292.179504
445.769890	291.584455
442.425711	291.622739
439.890462	291.680000
436.723743	291.115850
433.955638	290.733826
431.194410	290.572050
428.326701	290.489730
426.038817	290.142329
423.204294	290.519193
420.876482	290.515284
418.323289	290.290019
415.881453	290.682600
413.976368	290.733209
410.787500	289.889474
408.042580	289.904195
405.716380	290.014659
402.840589	289.807939
400.259773	289.525851
397.238188	289.266667
394.550725	289.160050
392.016839	288.759715
389.093446	288.742375
386.871845	288.508738
383.815875	288.262199
381.793325	288.255456
379.270053	288.048797
377.364412	288.079448
375.852024	288.096218
374.262880	288.027081
372.067014	287.734548
370.089359	287.748295
368.538714	287.818898
367.045915	287.774477
365.539281	287.816245
363.735911	287.966579
361.564667	287.736000
360.072644	287.801702
358.152844	287.148047
356.441567	287.115538
354.478200	286.705345
353.153432	286.543742
351.755348	286.284091
350.004178	286.291783
349.371237	286.459532
348.093860	286.201129
347.117607	286.278542
346.685056	286.433659
346.003492	286.458101
345.453178	286.509228
345.082691	286.484933
344.779078	286.304886
344.507495	286.435403
344.160740	286.581792
343.578136	286.482130
343.447708	286.742837
343.228107	286.867232
342.870331	286.783650
342.524382	286.709541
342.320795	286.669269
342.045710	286.664557
341.839668	286.476158
341.863827	286.372905
341.571133	285.991022
341.805031	286.142558
342.383251	286.405252
343.403315	286.410912
344.380272	286.510365
345.460784	286.633754
346.396724	287.089744
347.429255	286.908407
348.717703	287.444293
349.925227	287.684137
350.654167	287.694444
351.519110	287.457957
352.568601	287.456655
353.528720	287.500346
354.877524	287.624495
355.953125	287.764946
357.069607	287.800138
358.744611	287.593076
