x	y
435.897208	292.875635
438.533209	293.237741
441.425667	293.582592
443.952564	293.648718
446.792030	293.754047
449.217557	294.180025
451.615009	293.763270
453.988875	293.839926
456.571695	294.261328
458.593486	294.036791
460.502564	294.248077
462.641134	293.770808
464.639748	294.149527
466.576147	293.986544
468.798278	293.961870
471.245861	294.560392
473.900984	294.613161
476.140755	294.596929
478.326826	295.034005
480.280589	295.034593
483.035443	295.414557
484.447656	295.600514
486.517763	295.903947
488.254227	295.824671
489.532300	295.994186
491.257798	296.217696
492.329936	296.193631
493.445583	296.338028
494.652585	296.095839
495.689103	296.100641
496.691389	296.074167
497.481982	296.182111
498.419084	295.774984
499.096092	295.752723
500.370779	295.764935
501.392060	295.916253
502.567515	296.114808
502.979734	296.028499
503.571979	296.000000
504.064910	296.115039
504.964669	296.388644
505.622887	296.573472
505.763291	296.620886
505.873006	296.603701
506.048827	296.559924
505.636248	296.544990
505.377877	296.376598
504.807813	296.510397
504.364917	296.201665
503.496287	296.161510
502.994901	295.834927
502.370205	295.462276
501.750777	295.473586
501.074264	295.386044
499.863720	295.465316
499.325316	295.256962
498.721239	295.365992
498.079581	295.238742
496.980405	295.687786
496.154430	295.534810
494.807422	295.968010
493.588272	295.740858
492.099553	295.828973
490.849718	295.814026
488.999390	295.512508
486.863346	295.438697
485.280270	295.250154
483.111252	294.905183
481.520075	295.080301
478.629172	294.564277
476.546040	294.504829
474.048943	294.104532
472.168242	293.860113
470.255910	293.812057
468.180358	293.929586
465.764923	293.900308
464.234479	293.896323
462.155583	293.959849
460.313415	294.027439
457.804321	293.839506
455.559545	293.758229
453.287523	293.781193
450.594865	293.698184
448.120387	293.352087
445.377182	293.297382
442.355692	292.926154
439.493789	292.528571
436.425142	292.224889
433.494175	291.913550
431.135571	291.575210
428.785670	291.615812
426.074636	291.532574
422.924576	291.531113
420.773423	291.105328
418.618135	291.173052
416.318210	291.371659
413.984506	291.258231
411.778822	291.270050
409.181191	290.805643
407.001933	291.373711
404.177200	291.013631
402.030789	290.898012
399.716389	290.940461
396.966538	290.662162
394.024580	290.474774
391.215699	290.029355
388.691489	289.750665
386.406566	289.445707
383.797351	289.303311
381.720000	289.178750
379.383819	288.725566
377.311646	288.969421
375.637865	288.748412
373.687330	288.435286
372.158435	288.364336
370.107214	288.596294
368.978218	288.806601
367.141650	288.749838
365.576226	288.732035
363.571619	288.318454
362.098955	288.518467
360.474965	288.465925
358.743677	288.060834
357.114365	288.232218
355.344317	287.819771
354.021277	287.292908
352.834806	287.417403
351.467225	287.347280
349.861717	287.163488
349.071675	287.092350
348.096821	287.200867
347.179199	286.986648
346.629602	287.117084
346.133803	287.366901
345.908381	287.360085
345.584825	287.417323
345.476258	287.537916
345.188047	287.540087
344.959508	287.504700
344.708061	287.509078
344.438849	287.279856
344.078070	287.361249
343.856626	287.066618
343.886833	286.938790
343.481858	286.708273
343.474733	286.907473
343.618299	286.931380
343.701805	287.009386
344.094737	286.852632
344.558088	286.800000
345.068941	287.034115
345.886202	286.837127
346.986928	287.185185
348.368980	287.269830
349.547224	287.510454
350.675599	287.458392
352.447387	288.118110
353.496802	287.932480
354.481588	288.132130
355.951359	288.304721
357.178273	288.032033
358.371766	288.174427
359.980378	288.452698
361.193295	288.275321
362.345722	288.239130
363.811684	288.079725
365.959459	288.394737
367.326766	288.006114
369.162775	288.279533
370.971783	288.475568
373.320382	288.505794
375.484600	288.616016
377.852335	288.951236
380.683287	289.325843
382.970230	289.683356
385.494795	289.758501
387.825939	289.989078
390.456989	290.182124
392.888268	290.453212
395.049245	290.738674
397.170285	290.398915
399.610998	290.758316
401.924703	290.285337
404.274916	290.714381
406.998708	290.567183
409.544898	290.804082
412.508240	290.657877
414.621192	290.607947
417.865198	291.125729
420.431347	291.082254
423.221257	291.206551
425.958199	291.308039
428.561218	291.624752
431.840534	292.170267
434.884244	292.486817
437.956941	292.723008
440.403687	292.522568
443.353877	292.448641
445.845472	292.525016
448.223092	292.748858
451.312665	292.861478
453.889460	292.944730
456.420357	293.140780
458.833645	293.212461
461.030982	292.947264
463.612516	293.303413
466.180116	293.513234
468.811508	293.661376
471.076626	293.555055
473.689429	293.984898
476.559333	294.056446
478.875000	294.455214
481.667098	294.345207
484.041833	294.610226
486.170068	294.904082
488.612075	294.690430
490.807483	295.276871
492.881333	295.351333
494.503734	295.503734
496.344021	295.680027
498.099739	295.798566
499.574352	295.562756
500.926372	295.344043
502.252913	295.542152
503.839346	295.645337
505.496408	295.297845
506.563588	295.465194
508.499671	295.593031
509.369418	295.739513
510.707171	295.964143
511.661224	296.068027
512.624745	296.118967
514.234864	296.115103
514.963538	296.382849
516.131313	296.599327
516.575613	296.612398
517.308163	296.464626
517.592568	296.348374
517.981004	296.503392
518.111489	296.354861
518.623019	296.509993
518.646743	296.273338
518.611413	296.413723
518.360215	296.090726
518.379102	296.107167
518.140921	296.013550
517.770902	296.023041
517.763140	296.083832
517.494063	296.091689
517.396151	296.226941
516.690749	296.241729
516.631861	296.311914
515.949831	295.867119
515.139257	296.049072
514.109127	296.225529
513.357909	296.105898
511.888158	295.910526
