x	y
453.478036	292.095607
456.847405	292.399625
459.272374	292.528534
462.478900	292.898338
464.920676	293.078674
467.502332	293.135243
469.659355	293.018065
472.169424	293.194573
474.233144	293.146188
476.743191	293.230220
479.229086	293.541184
481.615236	293.415107
484.135294	293.725490
486.452411	293.779822
488.747832	293.811875
491.192233	293.528155
493.319289	294.040816
495.720373	293.837550
498.045045	293.863578
500.040027	294.335821
502.328397	294.674179
504.142292	294.875494
505.885848	295.089453
507.729349	295.039624
509.427703	295.222973
511.034238	295.380491
512.501368	295.323529
513.715410	295.287213
514.927565	295.012743
515.955345	295.018268
517.025879	294.966158
518.012320	295.031485
518.813779	294.986357
519.887422	295.077832
521.430020	295.331305
521.850202	295.274629
523.299793	295.590627
523.582425	295.444142
524.364591	295.505248
525.223031	295.450695
525.665314	295.694388
525.966621	295.615123
526.190088	295.750849
526.597519	295.722261
526.454791	295.552632
526.485384	295.965330
526.431679	295.961251
526.213460	295.946295
525.789761	295.644369
524.937707	295.588469
524.480082	295.639423
524.043276	295.862850
523.254582	295.315003
522.643478	295.239465
522.170683	295.137216
521.134535	295.243412
520.329780	295.171219
519.268210	295.008169
518.531621	295.135046
517.217742	295.178091
515.803869	295.289526
514.625320	295.340793
513.153129	295.309587
511.432884	295.132306
509.843421	295.410526
507.505277	295.058707
505.710644	294.830465
503.443445	294.576478
501.723526	294.463538
499.729358	294.592398
497.414186	294.419886
495.201024	294.015365
492.657014	293.941441
490.668810	293.855305
488.094920	293.964572
486.097240	294.048306
483.459442	294.066840
481.476312	293.592190
479.089703	293.665824
476.598559	294.065488
473.639506	293.908025
471.169108	293.938083
468.499678	293.779421
465.745086	293.088776
462.852597	293.137662
460.052960	292.789408
456.680769	292.786538
453.520910	292.723862
449.981529	291.897452
446.624841	291.825478
444.270639	291.622595
441.051857	291.771447
438.287907	291.473910
435.126034	291.213240
432.477528	291.197878
429.937944	291.220427
427.280782	291.215635
424.026909	290.996871
421.386467	291.160052
418.588529	291.016833
415.450281	290.809881
412.758105	290.824813
409.752788	290.736059
406.659886	290.440559
403.489896	290.454378
400.235969	289.808673
396.866117	289.720812
393.967802	289.358514
391.460938	289.205078
388.581639	288.985829
385.652482	288.842682
383.033856	288.600000
380.447044	288.734243
378.308039	288.791640
375.868389	288.290283
373.935957	288.579720
371.387199	288.154626
369.441196	288.437874
367.329041	288.343207
365.372638	288.730945
363.010101	288.572391
360.873393	288.628535
358.424387	288.350817
356.278916	288.118969
353.927946	288.142088
351.496350	287.783013
349.469667	287.311155
347.698939	287.372679
345.905722	286.808843
344.447832	287.177507
342.868863	287.046402
341.564396	286.908968
340.252060	287.225275
339.704940	286.930574
338.247214	286.736072
337.520520	286.966484
336.792517	287.244218
335.692779	287.173025
334.709177	286.828610
334.013103	287.162069
333.048103	286.955285
332.590370	287.146546
331.428865	287.056772
330.982081	286.722261
330.329362	286.859846
329.578231	286.665986
328.751768	286.483027
328.579420	286.573895
328.537664	286.533518
328.462179	286.389313
328.420400	286.565817
328.534123	286.646240
328.797141	286.693669
329.227778	286.780556
329.812845	286.810083
330.614227	286.885089
331.809622	287.229553
332.852318	287.307285
333.212203	287.597288
333.641622	287.640293
334.397959	287.602041
334.797141	287.464261
335.917616	287.825184
336.459330	287.669856
337.285903	287.756917
338.538150	287.665091
339.313700	287.758438
340.907346	287.748511
342.247858	288.085036
344.154143	288.145793
345.601734	288.012008
347.452937	288.202148
349.705805	288.410950
351.153548	288.740000
353.375625	288.998750
355.595068	289.278391
357.343886	289.537554
360.047199	289.865324
361.858911	290.160272
363.779494	290.126621
365.666880	289.870844
367.289828	289.737745
369.331658	290.022613
371.096675	289.986453
373.471889	290.121289
375.661911	289.954715
377.977630	290.128174
380.454545	290.389091
382.402613	290.751188
385.537469	290.974201
388.374925	291.085594
391.025822	291.198357
394.216102	291.476998
396.939516	292.014401
399.336579	292.142422
402.687756	292.408319
405.182469	292.380441
407.745873	292.737028
410.479239	292.638408
413.066745	292.719433
415.051471	292.770362
417.473404	292.738771
420.088427	293.110979
421.937899	292.653511
424.448755	292.873770
426.675287	292.808621
429.487345	292.911124
431.744395	293.468049
434.480023	293.450492
437.052450	293.491066
439.959955	293.848844
442.927655	294.335473
445.427283	294.613303
448.355102	294.822741
451.049333	295.199652
453.154162	295.196366
455.601999	295.531452
457.596441	295.508611
459.647023	295.690765
461.376705	295.497727
463.082200	295.489651
464.954221	295.533888
466.539618	295.544245
467.869356	295.411198
469.729852	295.555051
471.088080	295.453905
473.396152	295.632145
475.031991	295.422393
477.079614	295.712907
478.443678	295.908046
480.087189	296.137011
481.897480	296.624284
483.365407	296.667060
484.703125	296.975962
486.050656	297.084029
487.307125	297.092752
488.670381	297.178299
489.266344	297.114407
489.547261	296.937989
489.857826	297.096177
490.327370	296.901014
490.826389	296.809028
490.682057	296.663939
491.049625	296.541258
491.302995	296.627129
491.554907	296.501752
491.925364	296.478717
491.988856	296.401760
492.378235	296.267059
492.381261	296.396582
492.657227	296.608260
492.658004	296.584761
493.101144	296.622517
492.906028	296.736407
492.530120	296.961446
492.342359	296.996992
491.626812	296.710749
490.360536	296.883678
489.288554	296.609036
488.106562	296.256472
486.922674	296.047674
485.931818	295.978469
484.364985	295.645104
482.930233	295.429338
481.368132	295.256410
480.346246	295.409416
479.318209	295.095584
477.692625	295.071386
476.822101	295.292653
474.722155	295.280266
473.818930	295.505585
472.670901	295.380520
470.677022	295.512309
469.120958	295.468862
466.924725	295.596989
465.034849	294.804489
462.777711	295.065309
460.410673	294.935615
457.940966	294.381038
455.510565	294.170760
452.963848	293.710204
450.157135	293.445407
447.677267	293.295642
445.460024	292.958831
443.000000	293.010286
440.904043	292.681352
438.699651	292.612340
436.538371	293.281781
434.758314	293.185273
432.559272	293.030516
430.058394	292.763382
428.442662	293.066548
425.834541	293.073671
423.400368	293.063151
420.976534	292.790012
418.050186	292.315985
415.145314	292.135231
412.310092	291.877676
409.682473	291.561825
406.710719	290.960414
403.798746	290.934169
401.302885	290.415865
398.779262	290.236641
396.340451	289.999390
393.976656	289.952681
391.601010	290.063131
389.991288	290.121966
388.195000	289.913750
385.882798	290.131695
384.349521	289.989776
382.186701	290.219309
380.141491	289.993627
378.433333	290.062821
376.177103	289.664769
373.866930	289.430171
371.396431	289.373486
369.009253	289.208196
367.239947	288.729071
365.174318	288.369927
362.561475	288.262978
360.866492	288.117801
359.237610	287.980312
357.610811	287.881081
355.575491	287.666215
354.789979	287.611531
354.108725	287.744295
352.711498	287.796516
351.753856	287.878605
351.024862	287.798343
349.994390	287.645863
349.192362	287.806223
348.656759	287.956829
347.416493	287.808732
346.344580	287.530510
345.150142	287.633853
344.691873	287.310247
343.631317	287.185765
341.735849	286.596785
341.355301	286.534384
340.420056	286.345021
340.061834	286.138593
339.554922	286.166191
339.493907	286.167025
339.446364	286.218862
339.541101	286.239457
339.806025	286.263042
340.625811	286.652487
341.130182	286.914182
341.924320	286.944893
342.936963	287.238539
343.219369	287.294938
344.283613	287.375350
344.489315	287.439204
344.710059	287.476331
345.136592	287.495327
345.479883	287.084857
346.352313	287.146619
346.708066	287.015703
347.542278	286.834382
348.486738	286.762007
349.659913	286.851664
351.087413	286.884615
352.503297	287.095238
354.235125	287.021505
356.657037	287.485185
358.534307	287.705109
361.190275	288.408739
362.781339	288.443732
364.738676	288.434146
367.200852	288.860894
368.927778	289.063889
370.627154	288.971054
372.617794	289.060498
374.018170	288.717362
376.123500	289.026817
377.967808	288.739041
379.578297	288.578984
381.797538	288.646375
384.189940	288.594970
386.084990	288.376285
389.066892	288.633784
391.761905	289.088936
394.483199	288.934140
397.519454	289.638908
400.589849	289.837449
403.745326	289.905222
406.779133	290.737805
409.833011	290.875564
412.712851	291.216867
415.706275	291.343124
418.562249	291.230924
421.150831	291.552159
423.719434	291.290219
426.166667	291.518667
428.456230	291.284345
431.203534	291.556937
433.379892	291.358974
436.338864	290.998724
438.937831	291.162037
442.148338	291.331841
444.962939	291.528435
448.212516	291.858540
451.382239	292.128700
454.592593	292.387264
458.091772	292.536709
460.999346	293.054319
464.070358	293.038436
467.347769	293.416667
470.014175	293.650773
473.134860	293.717557
475.570216	293.799477
477.896530	293.673186
480.094961	293.696382
482.247712	293.964052
484.568898	293.894357
486.658714	294.098741
488.522872	293.913596
490.748519	293.715602
492.943079	293.965718
495.597754	293.881110
498.000000	294.161333
500.620779	294.472727
502.849768	294.563203
505.486184	294.867763
507.215232	295.178808
509.796531	295.223482
511.774324	295.768919
513.646465	295.691582
515.081274	295.893368
516.451047	295.827144
518.046512	296.023920
518.783100	295.955422
519.292633	295.593452
520.283044	295.556075
521.101309	295.415575
522.527538	295.287989
523.011042	295.434783
523.416033	295.213545
524.446215	294.976760
525.552408	295.096317
526.696464	295.000667
527.540670	295.499658
529.010033	295.911706
529.158362	295.982935
529.933471	295.938272
530.393857	296.178840
530.822909	296.536191
530.883885	296.412386
530.930818	296.399720
530.888889	296.556259
530.218772	295.775017
529.689917	295.609116
528.910991	295.463250
528.169772	295.367840
527.199198	295.107620
526.754552	295.002023
525.673869	294.992573
525.074001	294.909627
524.258350	294.765508
523.355289	294.764471
522.671362	294.735748
522.117568	294.919172
521.374589	295.369980
520.560815	295.214333
519.249035	295.240026
517.670034	295.262626
516.188079	295.200000
514.713055	295.198144
512.963479	295.326693
510.785483	295.045366
508.374580	294.866174
506.406111	294.873966
503.687418	294.094364
501.222508	294.059164
499.411436	293.602237
496.821429	293.645408
494.601858	293.238390
492.516933	293.380192
490.418605	293.148963
488.346977	293.212217
486.363636	293.859025
484.505762	293.809219
482.459566	293.767258
479.907952	293.882279
477.714008	293.796368
475.135363	293.758420
472.397296	293.544752
469.387808	293.400130
466.758945	292.893283
463.686723	292.790713
460.253189	292.494260
457.314034	291.841410
453.971338	291.933121
450.865588	291.602365
448.205978	290.861598
445.416298	290.837650
442.584724	290.866496
439.958948	290.890956
437.551420	290.716719
434.758893	290.758893
432.153303	290.548428
430.151729	290.729834
427.535032	290.851592
424.985677	290.792969
422.209211	290.740132
419.574808	290.439258
416.785141	290.698126
413.551191	290.179008
410.982928	289.921865
407.718282	289.636304
404.442940	289.192134
401.687708	288.605316
398.673164	288.456140
396.109249	288.402815
393.810567	288.221649
391.099466	287.957276
389.152305	288.202405
386.910032	288.031715
385.540505	288.088977
383.755906	288.266404
381.980405	288.350000
380.370345	288.478673
378.415953	288.409361
376.535642	288.416836
375.122490	288.625837
372.930152	288.491010
370.791165	288.051539
368.552011	288.001387
366.817294	287.818689
365.020308	287.607843
362.644224	287.139617
360.682960	286.752206
359.250515	286.617708
357.590720	286.254155
356.686192	286.304742
355.473427	286.755944
354.697450	286.490696
354.229624	286.304040
353.859637	286.424581
353.603424	286.704708
352.976173	286.929964
352.668331	287.070613
352.185725	287.178441
351.818892	287.171875
351.223027	287.472846
350.912080	287.498928
350.195898	287.117397
349.443174	287.136526
348.693166	286.888424
348.280514	286.599572
348.049716	286.678267
347.660324	286.684989
347.584046	286.529202
347.300423	285.900564
347.949376	286.261189
348.760732	286.450387
349.205000	286.560000
350.290000	286.948571
351.852273	287.196733
352.357195	287.253073
353.926367	287.273492
354.686147	287.511544
355.619150	287.439165
356.542714	287.606604
357.313191	287.680177
358.645631	287.745492
359.010925	287.685361
360.072982	287.849123
360.985714	287.520000
361.834031	287.602510
363.322355	287.529082
364.858046	287.486999
366.379426	287.243153
368.155571	287.412754
370.198370	287.735734
372.752194	288.085753
374.409622	288.352577
376.735984	288.604302
379.075085	289.006143
381.334648	289.153189
383.886980	289.660278
385.900788	289.717477
387.471438	290.053841
389.472801	289.846877
391.527213	290.106230
393.270972	290.165779
395.084967	289.964706
396.806116	289.995446
398.656067	289.626217
400.864865	289.630421
402.948060	289.886259
405.444514	289.776808
407.686679	289.912445
410.402385	290.158820
413.361689	290.391934
416.317010	290.820232
418.890006	291.324953
422.151266	291.654430
424.858473	291.795158
427.622166	292.243073
430.414461	292.437056
432.653728	292.650647
434.608387	292.681290
436.715427	292.246466
438.807229	292.327838
440.985185	292.440741
442.833029	292.609994
444.735166	292.514678
446.983323	292.683740
448.925047	292.483448
451.249104	292.460573
453.534188	292.751526
456.045756	293.013245
458.299818	292.913992
460.963125	293.336250
463.202751	293.797847
465.885185	294.243210
468.284467	294.694323
470.091131	294.944343
472.542341	295.171233
474.914997	295.213115
476.175866	295.488447
477.931181	295.495737
478.960484	295.485022
480.189427	295.443675
481.301036	295.076782
482.325921	294.970775
483.389062	294.965196
484.583801	295.072897
485.882675	295.027964
486.771820	294.738778
487.708176	294.789937
489.544548	294.987539
490.531915	295.188986
492.131400	295.685379
493.210063	295.971698
494.698803	296.298047
495.613580	296.471605
496.528169	296.697823
497.218514	296.749370
497.537778	296.713016
497.627513	296.700377
497.699692	296.593846
497.642105	296.538700
497.520808	296.469400
497.490379	296.222222
497.115617	295.996368
496.211432	295.515058
496.089066	295.509214
495.923407	295.496936
495.523928	295.698571
495.116322	295.450061
494.929095	295.480440
494.681177	295.483752
494.261977	296.126743
493.954685	296.231476
492.902628	296.443250
492.434836	296.474421
491.693914	296.489260
490.551368	296.693617
489.113390	296.688179
487.362566	296.404944
485.954938	296.197531
483.597358	295.827685
481.839906	295.605062
479.657663	295.342924
478.310345	295.258046
475.980531	294.857227
474.235987	294.871076
472.291348	294.817540
470.849450	294.804864
469.063218	294.521264
467.319001	294.862289
465.701202	294.936463
464.015799	294.978350
462.067232	294.935028
460.035714	294.745902
458.184060	295.025229
455.822323	295.267654
453.216418	294.975890
450.873569	294.758583
448.052781	294.522701
444.617058	294.192330
441.550961	293.747234
438.378316	293.586505
435.461713	293.254112
432.585323	293.191613
429.690733	292.687322
427.271935	292.905869
424.758286	292.778857
422.598540	292.410444
420.194253	292.450000
417.892013	292.627672
415.478363	292.574269
413.376504	292.773639
411.160913	292.889409
408.618321	292.983558
405.440793	292.989802
403.064051	292.780150
400.293036	292.696379
396.909402	292.109972
393.766226	291.857553
390.577601	291.322342
387.879250	291.044549
384.793417	291.011918
382.130409	290.531851
379.578512	290.403188
376.991798	290.137083
374.303284	290.080000
372.332936	290.158115
370.226658	290.257985
368.640496	290.226092
366.542631	290.034714
364.616455	290.405324
362.866176	290.163290
360.728418	290.242596
358.891632	290.226370
357.001879	290.050094
354.355556	289.946296
352.249841	289.443881
349.733627	289.214106
347.571252	288.925355
345.957233	288.886792
343.571429	288.565271
341.479872	288.109904
339.621691	287.849580
338.240177	287.783904
337.232543	287.776680
335.916350	288.047529
335.282383	287.909974
334.064893	287.804023
333.394549	288.200519
332.422104	288.167776
331.937054	288.188189
331.479014	288.249167
330.867060	288.424361
329.824735	288.306878
329.228647	288.301577
328.354356	288.118336
326.854209	287.973990
326.033203	287.666016
325.434605	287.442779
324.893387	287.309717
324.295003	287.243669
323.990391	287.177763
323.707400	287.029871
323.175770	286.754902
323.669850	286.996589
323.854483	286.927586
324.936692	287.042886
325.543419	287.393487
326.047455	287.398212
326.757802	287.679104
328.137014	287.907294
328.946295	288.159075
329.491479	288.134288
329.999319	288.255956
330.907298	287.894806
331.647180	287.960110
332.375000	287.908422
332.722746	287.850606
333.163043	287.560462
333.953660	287.361988
335.193968	287.438657
336.530464	287.539735
338.572586	287.777178
339.922925	287.570487
342.471264	287.676809
344.046405	287.753595
346.253652	288.169323
348.814915	288.357288
351.236267	288.820649
353.364619	288.926401
355.083221	289.197987
357.641484	289.228628
360.146242	289.734597
361.702650	289.651584
363.453574	289.607214
365.428479	289.428479
367.725097	289.410737
369.983660	289.650327
371.790374	289.531349
373.786755	289.421854
376.582752	289.413443
378.571338	289.380469
381.741630	289.775111
384.295873	289.898413
387.617300	290.260157
390.487050	290.094125
394.190168	290.752911
397.428932	291.634239
400.721649	291.510954
403.406747	291.557607
406.610663	292.017359
409.301639	291.649836
412.364492	291.713300
414.833441	291.713826
417.922638	291.961319
420.122487	291.976131
422.592398	291.901704
425.101485	291.879950
427.678392	291.793342
430.440594	291.803218
433.437152	291.776471
436.251899	292.259494
439.445872	292.097859
442.966583	292.543506
445.669799	292.748747
449.393359	293.560664
452.292776	293.494297
455.743541	293.781979
458.661529	294.213873
460.908411	293.778193
463.837508	294.293513
466.816613	294.500319
468.808016	294.475760
470.889325	294.671906
473.094257	294.168539
475.146484	294.253906
477.301922	294.382517
479.028105	294.245098
481.495164	294.466151
483.571704	294.486174
485.630263	294.508553
488.320933	294.476040
490.126514	294.563930
493.220907	294.982906
495.463576	295.257616
497.245768	295.381178
499.191531	295.689902
501.102599	295.979480
502.735662	295.693474
504.378453	296.280387
505.797872	296.435505
506.471218	296.222892
507.716779	296.234899
508.808606	296.028259
509.972149	295.739390
510.304548	295.627554
511.217593	295.192460
511.867198	295.561753
512.398936	295.319149
513.537354	295.699794
513.702776	295.843602
514.712766	295.729388
515.419908	295.764667
516.293804	295.806795
517.074380	296.009642
517.727333	296.134667
518.060668	296.372870
518.021578	296.420769
518.172999	296.361601
518.106441	296.342373
517.894702	296.470861
517.633176	296.610924
517.033775	296.251656
516.085135	295.804730
515.145225	295.870027
514.335306	295.576594
513.476253	295.441953
512.283660	295.132026
511.434432	294.923336
510.891089	294.846205
510.216987	294.887857
509.123670	294.831117
508.146373	294.928756
507.360887	294.733871
506.603934	295.445246
505.306258	295.341545
504.403543	295.214567
502.701502	295.475506
501.031746	295.298942
499.174695	295.197816
497.125000	294.946429
495.256475	294.774479
492.476527	294.524116
489.896736	294.237841
487.651927	293.973468
485.305397	293.566984
483.554278	293.437420
481.175789	293.305216
479.066541	293.298807
476.737412	293.124283
474.992642	293.278930
473.190088	293.479925
471.137500	293.368421
469.160589	293.352527
467.105196	293.420141
464.206410	293.459615
462.331880	293.280822
460.005777	293.207317
457.637046	293.329787
454.472169	292.909149
451.521877	292.577679
448.516470	292.355500
445.715506	291.800920
443.343302	291.600623
440.131274	291.316602
437.031633	290.898644
434.801813	290.737047
432.260116	290.290302
430.097683	290.194114
427.458716	290.401048
425.247298	290.271456
423.329890	290.134926
421.323834	290.109456
418.904031	290.159309
416.763505	290.418972
414.431373	290.368627
411.616365	290.329309
409.715198	290.482759
406.989536	290.216481
404.409695	289.918327
401.740693	289.475610
398.977612	289.187924
396.342313	288.871222
393.858660	288.491042
391.822957	288.050584
389.661499	288.234496
387.843644	287.941536
385.770588	287.796078
384.183042	287.977120
382.874919	287.858632
381.618890	288.309775
379.959049	288.173052
378.457143	288.178738
377.431427	288.568573
375.907557	288.287449
374.375853	288.536153
373.075523	288.310856
371.559572	288.161312
369.495822	287.886490
368.270596	287.937040
366.894518	287.335184
365.194769	287.091535
363.946964	286.851361
362.810056	287.099860
362.324380	286.984160
361.233003	286.626771
360.578212	286.728352
360.342013	286.736101
359.731602	286.894661
359.805379	286.942675
359.763571	287.047143
359.805000	287.271429
359.683980	287.245794
359.950530	287.993640
359.800857	287.711635
359.598708	287.674085
359.578459	287.622682
359.595425	287.525375
359.719384	287.576627
359.506456	287.169297
359.520372	287.153681
359.476392	286.846371
359.475198	286.805176
360.049271	286.910479
360.696926	286.785561
361.222692	286.871741
362.315678	286.858051
363.632740	287.345196
364.341649	286.970894
366.276034	287.647646
368.015299	287.945758
368.969308	287.788722
370.568182	288.018466
372.101928	288.240358
373.498575	288.326923
374.875000	288.329420
375.937765	288.434936
377.364714	288.694561
377.953911	288.311453
379.808762	288.144645
381.496649	288.066354
382.911826	287.946816
385.139856	288.431385
386.916724	288.437715
388.839731	288.265320
391.389706	288.633021
393.144997	288.491491
395.690122	288.967524
398.405989	289.559192
400.394824	289.463835
403.419463	289.752349
405.340164	289.998634
408.305609	290.112186
410.353297	290.214670
412.585462	289.886706
414.894949	290.385185
417.032043	290.520027
419.030968	290.488387
421.251148	290.378361
423.532351	290.331839
425.841929	290.603483
427.976083	290.312217
430.497702	290.561392
433.188830	290.850399
436.041158	291.011576
438.580731	290.974751
441.391960	291.165201
444.267742	291.729677
447.137049	292.041967
449.761241	292.304623
452.485981	292.656208
455.284543	292.294006
457.880764	292.623188
460.264837	292.780472
462.487427	292.818182
464.671494	292.840026
466.896168	292.912237
468.612690	292.835426
470.994315	293.298168
472.648148	293.218915
474.880829	293.216321
477.222922	293.314861
478.977607	293.246321
482.014348	293.711790
483.684559	293.481113
486.036822	293.808140
488.400000	294.079734
490.292339	294.265457
492.642154	294.235719
494.519454	294.639590
496.856488	294.882045
498.361528	295.101637
500.299670	295.217162
501.423979	295.058272
502.312799	295.197125
503.690335	295.264957
504.704169	295.209795
505.559399	295.133812
506.653270	294.816076
507.546605	294.992011
508.612862	295.167203
509.488326	294.827218
510.425768	295.069980
511.086869	295.171044
512.226174	295.338255
513.191099	295.594895
513.778610	295.531335
514.851023	295.680307
515.487026	295.884232
515.488771	295.908851
516.019104	295.924901
516.070620	296.173218
516.062376	296.076974
516.069767	296.025914
515.720053	296.119788
515.124752	295.895050
514.756225	295.680210
514.257387	295.535785
513.616101	295.405190
512.882199	295.067408
512.125841	295.030283
511.616536	295.198568
511.046345	294.917755
510.206529	295.125916
509.601568	295.308295
508.811459	295.515656
508.048843	295.407455
506.969012	295.701743
505.994805	295.601948
504.422179	295.655642
503.140697	295.241289
501.178368	295.392789
499.765306	295.351403
497.831959	295.283450
495.815099	295.104926
493.533504	294.774091
491.440847	294.670610
489.276693	294.694661
486.986610	294.356056
485.200251	294.079096
482.716698	294.040025
480.646692	293.887640
478.551008	294.154912
476.096349	293.694794
474.068010	294.071788
472.144155	293.928528
469.881984	294.158192
467.314286	293.757764
464.948202	293.782450
462.737199	293.941394
459.519093	293.688544
456.999389	293.359413
453.740220	293.433985
450.962108	292.772054
448.095387	292.887781
445.003571	292.727976
441.818182	292.250000
439.030321	292.043401
435.938132	291.748959
433.124396	291.663647
430.123582	291.706866
427.426129	291.643468
425.072368	291.732656
422.049909	291.566646
419.188634	291.565901
416.721341	291.598780
413.695000	291.648750
411.244444	291.512312
408.408809	291.480769
405.644471	291.434602
402.731928	291.108434
399.343866	290.893432
396.188327	290.598676
393.638272	290.296914
390.853031	290.084507
387.441067	289.710298
384.743013	289.744836
381.878240	289.744424
379.456262	289.764003
376.581437	289.438922
374.590966	289.272898
372.108359	289.325077
370.054104	289.346393
367.682441	289.565380
365.769278	289.388617
363.376440	289.208067
360.958776	289.024984
359.042153	289.101816
356.994329	289.066793
354.704418	289.069695
352.379444	288.638009
350.417603	288.515605
348.079396	288.324803
346.618895	288.339332
344.320656	287.800000
342.787109	287.921224
340.923713	287.719644
339.023163	287.707478
337.869398	287.602433
336.346410	287.583777
335.754642	287.561008
335.058322	287.764744
333.652057	287.704653
332.407407	287.458090
331.663109	287.440294
331.252653	287.694297
330.431102	287.598425
329.134105	287.653506
327.937252	287.583223
327.306386	287.241168
326.875252	287.498994
